code,chapitre,chapitre_libelle,groupe,groupe_libelle,variete,libelle,libelle_normalise,sai,revision
0000,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,non,
0010,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,10,NORMAL SOUS TRAITEMENT,NORMAL SOUS TRAITEMENT,non,
0020,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,20,NORMAL APRES TRAITEMENT - LESION GUERIE APRES TRAITEMENT,NORMAL APRES TRAITEMENT - LESION GUERIE APRES TRAITEMENT,non,1997 AJOUT
0030,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,30,NODULE LYMPHOIDE PHYSIOLOGIQUE,NODULE LYMPHOIDE PHYSIOLOGIQUE,non,
0040,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,40,ETAT SUBNORMAL - LESION MINEURE,ETAT SUBNORMAL - LESION MINEURE,non,
0050,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,50,LESION RESIDUELLE,LESION RESIDUELLE,non,1997 AJOUT
0051,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,51,LESION AMELIOREE PAR LE TRAITEMENT,LESION AMELIOREE PAR LE TRAITEMENT,non,1997 AJOUT
0052,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,52,LESION MODIFIEE PAR LE TRAITEMENT,LESION MODIFIEE PAR LE TRAITEMENT,non,1997 AJOUT
0060,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,60,LESION RESISTANTE AU TRAITEMENT,LESION RESISTANTE AU TRAITEMENT,non,1997 AJOUT
0070,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,70,LESION RECIDIVANTE,LESION RECIDIVANTE,non,1997 AJOUT
0080,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,80,MATERIEL AYANT FAIT L'OBJET D'UNE RELECTURE,MATERIEL AYANT FAIT L'OBJET D'UNE RELECTURE,non,1998 AJOUT
0081,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,81,DIAGNOSTIC INITIAL CONFIRME APRES RELECTURE,DIAGNOSTIC INITIAL CONFIRME APRES RELECTURE,non,1998 AJOUT
0082,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,82,DIAGNOSTIC INITIAL MODIFIE APRES RELECTURE,DIAGNOSTIC INITIAL MODIFIE APRES RELECTURE,non,1998 AJOUT
0083,0,CARACTERES GENERAUX,00,ORGANE NORMAL - TISSU NORMAL - CELLULE NORMALE,83,LESION CONSIDEREE COMME FAUX NEGATIF APRES RELECTURE,LESION CONSIDEREE COMME FAUX NEGATIF APRES RELECTURE,non,1998 AJOUT
